S.No,Company Name,Founder / Key Person,Website,Phone,City / Location,Specialization,Premium Tier,Instagram Handle,Why Relevant for Auric Jewels
1,Shanqh Luxury Events,Shanqh Team,shanqh.com,+91-9910325805,Delhi (Global: USA/UAE/Thailand),Luxury Wedding Planning & Decor,Ultra Premium,@shanqhevents,"Global luxury weddings - bridal jewellery partnerships for destination brides"
2,The Wedding Design Company (WDC),Vandana Mohan,theweddingdesigncompany.com,,Delhi,"Celebrity & High-Profile Weddings, Bespoke Design",Ultra Premium,@theweddingdesigncompany,"Celebrity clientele needs premium diamond & gold jewellery styling"
3,Shaadi Squad,"Sasha Rawal, Samarth Bajaj",shaadisquad.com,,Delhi / Mumbai,"Celebrity Weddings (Virat-Anushka, Katrina-Vicky)",Ultra Premium,@shaadisquad,"A-list celebrity weddings = high demand for luxury bridal jewellery"
4,Wedniksha (by Wizcraft),"Bhavnesh Sawhney, Farid Khan",wedniksha.com,,Mumbai,Grand Scale Celebrity & Corporate Weddings,Ultra Premium,@wedniksha,"Mega-budget weddings - ideal for Auric's premium solitaire collections"
5,Motwane Entertainment & Weddings,Aditya Motwane,motwane.com,,Mumbai,"Celebrity Weddings (Priyanka-Nick, Arpita Khan)",Ultra Premium,@moaborr,"High-profile weddings with international guests need luxury jewellery"
6,Devika Narain and Company,Devika Narain,devikanarainandcompany.com,,Mumbai / Delhi,Sustainable Luxury Wedding Design,Ultra Premium,@devikanarainandco,"Bespoke sustainable luxury aligns with Auric's custom jewellery service"
7,Gurleen M Puri,Gurleen M Puri,gurleenmpuri.com,,Delhi,"Celebrity Weddings (Sonam Kapoor), 20+ Years Experience",Ultra Premium,@guraborr,"Top-tier Delhi weddings - perfect for Auric's Gurgaon showroom referrals"
8,Swaaha Weddings & Experiences,"Mareesha Parikh, Hemant Kale",swaaha.com,,Mumbai,Luxury Destination Weddings (India & International),Ultra Premium,@swaahaweddings,"International destination weddings need premium jewellery partners"
9,FNP Weddings (Ferns N Petals),Vikaas Gutgutia,fnpweddings.com,+91-9212461461,Delhi NCR,"India's Largest Wedding & Event Company, 400+ cities",Ultra Premium,@fnpweddings,"Massive scale - bridal jewellery recommendation to thousands of brides"
10,ADDY Events,Addy Team,addyevents.in,,Delhi,Celebrity Weddings & Luxury Destination Events,Ultra Premium,@addyevents,"Bollywood & tycoon weddings - high-value jewellery requirement"
11,7X Weddings,7X Team,7xweddings.com,,Mumbai / Jaipur / Vadodara,Luxury Destination Weddings (Udaipur/Goa/International),Premium,@7xweddings,"Multi-city operations bring diverse premium bridal clientele"
12,Indian Wedding Planners (IWP),IWP Team,indianweddingplanners.in,,Jaipur / Mumbai,"Royal Rajasthani & Destination Weddings, 250+ weddings",Premium,@indianweddingplanners,"Royal wedding theme = heavy demand for traditional gold & diamond sets"
13,Seven Pearl India,Seven Pearl Team,sevenpearlindia.com,,Udaipur,Destination Weddings in Rajasthan (220+ weddings),Premium,@sevenpearlindia,"Udaipur luxury weddings - brides seek premium heritage jewellery"
14,Vivah Luxury Weddings,Vivah Team,vivahluxuryweddings.com,,Delhi,Luxury Destination Weddings (20+ years experience),Premium,@vivahluxuryweddings,"Long-standing Delhi luxury planner - ideal for Auric partnership"
15,Shubh Muhurat Luxury Weddings (SMLW),SMLW Team,smlwindia.com,,Delhi,Premium Destination Weddings & Wedding Design,Premium,@smlwindia,"Delhi's premium wedding segment - direct access to Gurgaon brides"
16,Touchwood Group,Touchwood Team,touchwoodgroup.com,,Delhi,"Large-Scale Extravagant & Multicultural Weddings, 20+ years",Premium,@touchwoodgroup,"Two decades of luxury weddings - established network of HNI families"
17,Rani Pink,Rani Pink Team,ranipink.com,,Jaipur,Royal Rajasthani & Heritage Weddings,Premium,@ranipinkofficial,"Heritage Rajasthani weddings demand premium traditional jewellery"
18,Wedding Picasso,Wedding Picasso Team,weddingpicasso.com,,Udaipur,Destination Weddings across Rajasthan & India,Premium,@weddingpicasso,"Palace & fort weddings - brides need statement jewellery pieces"
19,KnotsByAMP,AMP Team,knotsbyamp.com,,Delhi,Luxury Wedding Planning & Coordination,Premium,@knotsbyamp,"Delhi premium market - can refer brides to Auric Gurgaon showroom"
20,Absolute Events,Kaival Patel,absoluteevents.in,,Multi-city (India/International),Luxury Indian Weddings (USA/Mexico/UAE/India),Premium,@absoluteevents,"NRI weddings with high budgets - need premium Indian jewellery"
21,Mega Weddings & Events,Megha Jindal,megaweddings.in,,Delhi NCR (Gurgaon/Noida/Faridabad),Destination Wedding Planning in NCR,Premium,@megaweddings,"Based in Delhi NCR - direct Gurgaon market for Auric"
22,The Prime Weddings,Prime Team,theprimeweddings.com,,Delhi NCR,Destination Weddings & Luxury Events,Premium,@theprimeweddings,"Delhi NCR premium market with ring ceremony specialization"
23,Shaandaar Events,Shaandaar Team,shaandaarevents.com,,Chandigarh,Luxury Destination Weddings (100+ grand weddings),Premium,@shaandaarevents,"North India luxury weddings - Punjabi brides love heavy jewellery"
24,DC Wedding and Events,DC Team,dcweddingandevents.com,,Delhi,Expert Wedding Planning (10+ years),Premium,@dcweddingandevents,"Established Delhi planner - good referral network for bridal jewellery"
25,Ritiriwaz Weddings,Ritiriwaz Team,ritiriwazweddings.com,,Delhi,Personalized Planning & Budget-Friendly Luxury,Premium,@ritiriwazweddings,"Budget-luxury segment - mid-to-high range jewellery demand"
26,Bells & Bows,Bells & Bows Team,bellsandbows.in,,Delhi,Destination Wedding & Event Planning,Premium,@bellsandbows,"Delhi destination wedding market for Auric's bridal collections"
27,Trupp & Fest,Trupp & Fest Team,truppandfest.com,,Mumbai,Destination Wedding Planning,Premium,@truppandfest,"Mumbai luxury weddings - affluent clientele needs diamond jewellery"
28,Jaspira Wedding Planners,Jaspira Team,jaspira.in,,Kochi (Kerala),ISO Certified Luxury Destination Weddings,Premium,@jaspiraweddings,"South India luxury weddings - expanding Auric's reach beyond North"
29,Varmalla,Varmalla Team,varmalla.com,,Pan-India,Destination Weddings with Insider Venue Pricing,Premium,@varmalla,"Pan-India network brings volume of premium bridal leads"
30,Yellow Planners,Yellow Planners Team,yellowplanners.com,,Hyderabad / Vijayawada,Luxury & Theme Weddings,Premium,@yellowplanners,"South India luxury market - Hyderabadi weddings are jewellery-heavy"
31,Prakruti Productions,Prakruti Team,prakrutiproductions.com,,Hyderabad,Luxury Wedding Planning & Premium Experiences,Premium,@prakrutiproductions,"Hyderabad's affluent wedding market - heavy gold & diamond demand"
32,Alankaran Events,Alankaran Team,alankaranevents.com,,Hyderabad (+ Bali/Dubai/Maldives),Luxury Destination Weddings,Premium,@alankaranevents,"International destination weddings from Hyderabad - premium clientele"
33,Panodrama Events,"Tulika, Mallika",panodramaevents.com,,Delhi,Boutique Luxury Wedding Planning,Premium,@panodramaevents,"Boutique approach = curated vendor recommendations including jewellers"
34,Beyond Pheras,Beyond Pheras Team,beyondpheras.com,,Delhi,Luxury Destination & Personalized Weddings,Premium,@beyondpheras,"Deep personalization - can integrate Auric as preferred jeweller"
35,Ankit Bhargava Weddings,Ankit Bhargava,ankit.in,,Udaipur / Goa,Destination Weddings in Rajasthan & Goa,Premium,@ankitweddings,"Udaipur & Goa weddings - brides invest heavily in jewellery"
36,Luxury Destination Wedding Planner,LDWP Team,luxurydestinationweddingplanner.com,,Delhi,Top Wedding Planning & Decoration,Premium,@luxuryweddingplanner,"Delhi luxury segment - prime territory for Auric bridal jewellery"
37,Olivestree Events,Olivestree Team,olivestreeevents.com,,Pan-India,Destination Weddings (15+ years experience),Premium,@olivestreeevents,"Long experience brings strong vendor network for partnerships"
38,Destination Wedding Bharat,DWB Team,destinationweddingbharat.com,,Pan-India,Expert Destination Wedding Services,Premium,@destinationweddingbharat,"Pan-India destination weddings - diverse bridal jewellery needs"
39,A'moore Weddingz,A'moore Team,amooreweddingz.com,,Pan-India,Best Destination Wedding Planning,Premium,@amooreweddingz,"Premium destination focus - partner for bridal jewellery styling"
40,Innocept Studios,Innocept Team,innoceptstudios.com,,Mumbai,Floral Decorations & Installation Art Weddings,Premium,@innoceptstudios,"Aesthetic focus - complementary jewellery styling partnerships"
41,The Wedding Ties,Wedding Ties Team,theweddinalties.com,,Pan-India,Destination Wedding Planning & Venue Selection,Premium,@theweddinalties,"Venue-focused approach - can integrate jewellery trunk shows"
42,N Square Event Management,N Square Team,nsquareevents.com,,Gurgaon,Wedding Planning & Event Management in Gurgaon,High Premium,@nsquareevents,"Gurgaon-based = direct proximity to Auric Jewels showroom"
43,Kaleerein by Kanika Kumria,Kanika Kumria,kaleerein.com,,Gurgaon,End-to-End Wedding Planning in Gurgaon,High Premium,@kaleereinbykanika,"Gurgaon specialist - ideal local partnership for Auric"
44,Vision Vivaah,Vision Vivaah Team,visionvivaah.com,,Pan-India,Wedding & Event Planning,Premium,@visionvivaah,"Broad reach brings diverse bridal clientele across India"
45,Kraftstar Management,Kraftstar Team,kraftstarmanagement.com,,Pan-India,Wedding Planning & Management,Premium,@kraftstarmanagement,"Multi-service approach - jewellery recommendation opportunity"
46,Showtime Events,Showtime Team,showtimeevent.com,+91-9871009325,Delhi,Top Wedding Planning & Events,Premium,@showtimeevents,"Delhi wedding market - referral potential for Auric"
47,Sonal J Shah Event Consultants,Sonal J Shah,sjsevents.com,,New York / India,NRI & Cross-Cultural Luxury Indian Weddings,Ultra Premium,@sjsevents,"NRI weddings = highest budget for Indian bridal jewellery"
48,Luxury Tribe Weddings,Luxury Tribe Team,theluxurytribe.com,,Pan-India,Luxury Wedding Curation,Ultra Premium,@theluxurytribe,"Curated luxury = perfect alignment with Auric's premium positioning"
49,Weddings By Kaarya,Nikil Kumar Yadav,weddingsbykaarya.com,,Hyderabad,Creative Wedding Planning (10+ years),Premium,@weddingsbykaarya,"Hyderabad premium weddings - traditional jewellery-heavy celebrations"
50,Marigold Weddings,Marigold Team,marigoldweddings.in,,Hyderabad,Luxury Wedding Planning,Premium,@marigoldweddings,"Hyderabad luxury weddings - strong gold jewellery culture"
